accession,lon,lat,site,site2,basin,sp
OQ693042,174.6534667,-15.4145667,Mangatolo,LB_Mangatolo_66,Lau,A
OQ693044,174.6534667,-15.4145667,Mangatolo,LB_Mangatolo_84,Lau,A
OQ693049,177.166,-14.7373833,Fatu Kapa,Futuna_Fatu_Kapa_42,Lau,A
OQ693054,177.166,-14.7373833,Fatu Kapa,Futuna_Fatu_Kapa_9,Lau,A
OQ693069,174.6534667,-15.4145667,Mangatolo,LB_Mangatolo_7,Lau,A
OQ693087,177.166,-14.7373833,Fatu Kapa,Futuna_Fatu_Kapa_7,Lau,A
OQ693096,176.1367167,-20.31745,Tow Cam,LB_Tow_Cam_29,Lau,A
OQ693097,174.6534667,-15.4145667,Mangatolo,LB_Mangatolo_45,Lau,A
OQ693098,176.1913167,-20.7630667,ABE,LB_ABE_93,Lau,A
OQ693104,176.1913167,-20.7630667,ABE,LB_ABE_19,Lau,A
OQ693413,155.05,-9.8,La Scala,WL_La_Scala_60,Woodlark,A
OQ693414,155.05,-9.8,La Scala,WL_La_Scala_19,Woodlark,A
OQ693415,155.05,-9.8,La Scala,WL_La_Scala_38,Woodlark,A
OQ693434,155.052667,-9.79905,S La Scala,SLWL_La_Scala_30,Woodlark,A
OQ693457,155.05,-9.8,La Scala,WL_La_Scala_37,Woodlark,A
OQ693458,155.052667,-9.79905,S La Scala,SLWL_La_Scala_34,Woodlark,A
OQ693460,155.052667,-9.79905,S La Scala,SLWL_La_Scala_24,Woodlark,A
OQ693473,155.052667,-9.79905,S La Scala,SLWL_La_Scala_7,Woodlark,A
OQ693478,155.052667,-9.79905,S La Scala,SLWL_La_Scala_20,Woodlark,A
OQ693497,155.05,-9.8,La Scala,WL_La_Scala_94,Woodlark,A
OQ693563,176.1913167,-20.7630667,ABE,LB_ABE_8,Lau,B
OQ693564,176.1913167,-20.7630667,ABE,LB_ABE_18,Lau,B
OQ693565,176.1913167,-20.7630667,ABE,LB_ABE_AMP15,Lau,B
OQ693566,176.1913167,-20.7630667,ABE,LB_ABE_AMP9,Lau,B
OQ693567,176.1913167,-20.7630667,ABE,LB_ABE_AMP17,Lau,B
OQ693568,176.1913167,-20.7630667,ABE,LB_ABE_AMP8,Lau,B
OQ693569,176.1913167,-20.7630667,ABE,LB_ABE_AMP7,Lau,B
OQ693570,176.1913167,-20.7630667,ABE,LB_ABE_AMP10,Lau,B
OQ693571,155.05,-9.8,La Scala,WL_La_Scala_20,Woodlark,B
OQ693572,155.05,-9.8,La Scala,WL_La_Scala_30,Woodlark,B
OQ693573,155.05,-9.8,La Scala,WL_La_Scala_24,Woodlark,B
OQ693574,155.05,-9.8,La Scala,WL_La_Scala_12,Woodlark,B
OQ693575,155.05,-9.8,La Scala,WL_La_Scala_7,Woodlark,B
OQ693576,155.05,-9.8,La Scala,WL_La_Scala_11,Woodlark,B
OQ693577,155.05,-9.8,La Scala,WL_La_Scala_34,Woodlark,B
OQ693578,176.1367167,-20.31745,Tow Cam,LB_Tow_Cam_6,Lau,B
OQ693579,176.1367167,-20.31745,Tow Cam,LB_Tow_Cam_1,Lau,B
OQ693580,176.1913167,-20.7630667,ABE,LB_ABE_15,Lau,B
OQ693581,176.133333,-20.05,Kilo Moana,LB_Kilo_Moana_AMP4,Lau,B
OQ693582,176.133333,-20.05,Kilo Moana,LB_Kilo_Moana_AMP2,Lau,B
